Source,OutcomeGrouping,OutcomeType,OutcomeDeliverableID,OutcomeDeliverable
PBS,Supply chains,Objective,3.60,"Defra will implement a phased roll-out of a biosecure procurement requirement across government grants and contracts, meaning suppliers of plants and trees will need to demonstrate best practice by meeting the requirements of the published Plant Health Management Standard."
PBS,Supply chains,Objective,3.70,"Incentivise biosecure practices when planting and managing trees and woodland through the Environmental Land Management and other Future Farming schemes, reducing the internal spread of pests and diseases through advice, guidance and grant support to land managers."
PBS,Supply chains,Objective,3.80,"Support the sector to raise biosecurity standards and showcase best practices,"
PBS,Domestic production,Objective,3.90,"Develop a Horticulture Strategy for England that will examine the roles of small, large, and emerging growing models across edible and ornamental horticulture, to identify and support the growth potential within our domestic sectors."
PBS,Domestic production,Objective,3.10,Work with the Ornamental Horticulture Roundtable Group to explore actions identified in the “Unlocking Green Growth” industry action plan that both government and industry can take.
PBS,Domestic production,Objective,3.11,"Invest in the quality, quantity and diversity of domestic seed and sapling supply, including continued provision of capital and innovation grants to tree nurseries. This includes the Nature for Climate Fund Sector Capacity project and the new Tree Production Capital Grant."
PBS,Core capability,Objective,4.10,"Strengthen and enhance the core research and surveillance programmes for plant health, including sustained investment in critical capability at, for example, SASA, the Forestry Commission, Fera Science Ltd and Forest Research."
PBS,Core capability,Objective,4.20,Defra will publish a new plant health research priorities document in 2023.
PBS,Core capability,Objective,4.30,"Maintain Scotland’s Plant Health Centre, which brings together scientific expertise across agriculture, horticulture, forestry and the natural environment."
PBS,Core capability,Objective,4.40,Design and deliver a new plant health surveillance network for Wales.
PBS,Core capability,Objective,4.50,"Support delivery of related government science strategies, particularly the Tree Health and Biosecurity elements of the Science and Innovation Strategy for Forestry in Great Britain."
PBS,Core capability,Objective,4.60,"Deliver the new £4.5 million Centre for Forest Protection, led by Forest Research and Royal Botanic Gardens Kew, which will provide a hub for research on tree pests and diseases, including 14 research projects and a programme of education, training and knowledge exchange."
PBS,Core capability,Objective,4.70,"UKRI will continue to support strategic infrastructure and programmes at institutes that provide long-term plant health research capability, for example, the John Innes Centre, Rothamsted Research, UK Centre for Ecology & Hydrology and UK Agritech centres for Agricultural Innovation."
PBS,Collaborating and innovating to enhance capability,Objective,4.80,"Review the role of the UK Animal and Plant Health Science Partnership and the recommendations from the BBSRC working group in Plant Health 2021, with the aim of supporting a co-ordinated, vibrant and innovative UK research community that can develop the knowledge and tools to tackle national and global plant health priorities."
PBS,Collaborating and innovating to enhance capability,Objective,4.90,Encourage collaboration across research providers and sectors to exploit the latest advances in science and technology take-up.
PBS,Collaborating and innovating to enhance capability,Objective,4.10,"Champion innovative and collaborative research models like the UK Action Oak partnership, which aims to leverage funds for research and knowledge exchange on oak health."
PBS,Collaborating and innovating to enhance capability,Objective,4.11,"Work with other research funders and providers, such as UKRI and Royal Horticultural Society (RHS) to deliver increased opportunities for plant health internships, PhDs and Fellowships."
PBS,Collaborating and innovating to enhance capability,Objective,4.12,"Work with UKRI to explore further opportunities for collaborative investment in fundamental and applied plant science, development of technologies, as well as understanding trade routes and consumer behaviour."
PBS,International,Objective,4.13,"Continue to support Great Britain’s active participation in the Euphresco research network, thus enabling access to a network of plant health researchers across more than 50 countries."
PBS,International,Objective,4.14,Identify opportunities for participation of British researchers in international research programmes of relevance to plant health and biosecurity.
PBS,Regulatory regime,Objective,1.10,Support third country market access for UK stakeholders
PBS,Regulatory regime,Objective,1.10,Regulation of non-native biological control agents
